relative_path,readable,integrity_error,truncated_warning,width,height,aspect_ratio,channels_or_mode,image_format,file_size_bytes,audit_status,review_reason
Non-Venomous/Checkered Keelback/Checkered_Keelback.jpg,True,,False,800,533,1.500938,RGB,JPEG,46845,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/Checkered_Keelback_(Xenochrophis_piscator)_漁游蛇.jpg,True,,False,1024,681,1.503671,RGB,JPEG,416621,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/Checkered_Keelback_(Xenochrophis_piscator)_漁游蛇2.jpg,True,,False,1024,684,1.497076,RGB,JPEG,540248,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/Checkered_Keelback_(Xenochrophis_piscator)_漁游蛇5.jpg,True,,False,1024,683,1.499268,RGB,JPEG,558331,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/checkered_keelback_water_snake.jpg,True,,False,632,328,1.926829,RGB,JPEG,65135,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
"Non-Venomous/Checkered Keelback/Checkered_Keelback_Xenochrophis_piscator_Schneider,_1799_Assam_by_Dr_Raju_Kasambe_DSC_0477_(2).JPG",True,,False,220,133,1.654135,RGB,JPEG,14262,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/checkeredkeelback.jpg,True,,False,621,462,1.344156,RGB,JPEG,126923,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/Chekkered Keel Back.jpg,True,,False,800,600,1.333333,RGB,JPEG,96015,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/chequred keelback.jpg,True,,False,504,336,1.5,RGB,JPEG,127490,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/ckb full3.jpg,True,,False,1024,505,2.027723,RGB,JPEG,208511,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/ckb.jpg,True,,False,1024,655,1.563359,RGB,JPEG,154505,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/Cm9GKVuUMAAoh1K.jpg,True,,False,1200,675,1.777778,RGB,JPEG,146924,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/CxDP8_ZUoAQhwy3.jpg,True,,False,800,1200,0.666667,RGB,JPEG,120011,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/DSC00369.JPG,True,,False,345,299,1.153846,RGB,JPEG,24872,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/DSC00813.JPG,True,,False,1600,1200,1.333333,RGB,JPEG,194474,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/DSC4977.jpg,True,,False,1024,582,1.75945,RGB,JPEG,190104,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/DSC_3798-1.jpg,True,,False,1600,1062,1.506591,RGB,JPEG,234769,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/dyabayack.jpg,True,,False,200,200,1.0,RGB,JPEG,10411,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/entomology-ornithology-herpetology-Xenochorpis-piscator-4-136-g003.png,True,,False,477,355,1.343662,P,PNG,84777,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
